2026/04/27 09:08:20 Auto-scaled for 500GB target (70/20/10 ratio):
2026/04/27 09:08:20   accounts:     825955249
2026/04/27 09:08:20   contracts:    100000 (soft cap, stops earlier at target)
2026/04/27 09:08:20   min-slots:    9636
2026/04/27 09:08:20   max-slots:    96360
2026/04/27 09:08:20   code-size:    1024
2026/04/27 09:08:20   distribution: power-law
2026/04/27 09:08:20 Loaded genesis with 1 alloc accounts (chainId=1337)
2026/04/27 09:08:20 Configuration:
2026/04/27 09:08:20   Database:     /home/CPerezz/bintrie-benchmarks/mpt-vs-bintrie/dbs/bt-gd5-flat/geth/chaindata
2026/04/27 09:08:20   Output Format: geth
2026/04/27 09:08:20   Accounts:     825955249
2026/04/27 09:08:20   Contracts:    100000 (Phase 1 safety cap, target-size stops earlier)
2026/04/27 09:08:20   Max Slots:    96360 (auto-scaled for target size)
2026/04/27 09:08:20   Min Slots:    9636 (auto-scaled for target size)
2026/04/27 09:08:20   Distribution: power-law
2026/04/27 09:08:20   Seed:         25519
2026/04/27 09:08:20   Batch Size:   100000
2026/04/27 09:08:20   Workers:      96
2026/04/27 09:08:20   Code Size:    1024 bytes
2026/04/27 09:08:20   Trie Mode:    binary
2026/04/27 09:08:20   Commit Interval: 500000 trie insertions
2026/04/27 09:08:20   Group Depth:     5
2026/04/27 09:08:20   Pebble Block:    4096 bytes
2026/04/27 09:08:20   Target Size:  500.00 GB
2026/04/27 09:08:20   Genesis:      /home/CPerezz/state-actor/genesis.json
2026/04/27 09:08:20 NOTE: --commit-interval is ignored (binary stack trie computes root from sorted entries)
2026/04/27 09:08:20 Included 1 genesis alloc accounts (1 EOAs, 0 contracts)
2026/04/27 09:46:28 [EOA] 785928268/825955249 (95.2%), 0 storage slots, 1571856538 trie entries
2026/04/27 09:46:48 [EOA] 793179387/825955249 (96.0%), 0 storage slots, 1586358776 trie entries
2026/04/27 09:47:08 [EOA] 800063487/825955249 (96.9%), 0 storage slots, 1600126976 trie entries
2026/04/27 09:47:28 [EOA] 807316042/825955249 (97.7%), 0 storage slots, 1614632086 trie entries
2026/04/27 09:47:48 [EOA] 814219263/825955249 (98.6%), 0 storage slots, 1628438528 trie entries
2026/04/27 09:48:09 [EOA] 821559295/825955249 (99.5%), 0 storage slots, 1643118592 trie entries
2026/04/27 09:48:29 [Contract] 255/100000 (0.3%), 5966483 storage slots, 1657890032 trie entries
2026/04/27 09:48:49 [Contract] 861/100000 (0.9%), 19848857 storage slots, 1671803779 trie entries
2026/04/27 09:49:09 [Contract] 1431/100000 (1.4%), 33096295 storage slots, 1685081057 trie entries
2026/04/27 09:49:29 [Contract] 2003/100000 (2.0%), 46679866 storage slots, 1698694141 trie entries
2026/04/27 09:49:50 [Contract] 2609/100000 (2.6%), 60333474 storage slots, 1712379198 trie entries
2026/04/27 09:50:10 [Contract] 3212/100000 (3.2%), 73925812 storage slots, 1726003391 trie entries
2026/04/27 09:50:30 [Contract] 3796/100000 (3.8%), 87496069 storage slots, 1739604287 trie entries
2026/04/27 09:50:50 [Contract] 4398/100000 (4.4%), 101080436 storage slots, 1753219849 trie entries
2026/04/27 09:51:10 [Contract] 4967/100000 (5.0%), 114686046 storage slots, 1766855311 trie entries
2026/04/27 09:51:30 [Contract] 5547/100000 (5.5%), 128293254 storage slots, 1780492588 trie entries
2026/04/27 09:51:50 [Contract] 6130/100000 (6.1%), 142081041 storage slots, 1794310794 trie entries
2026/04/27 09:52:11 [Contract] 6668/100000 (6.7%), 155498140 storage slots, 1807755722 trie entries
2026/04/27 09:52:31 [Contract] 7287/100000 (7.3%), 168910212 storage slots, 1821200015 trie entries
2026/04/27 09:52:51 [Contract] 7902/100000 (7.9%), 182253195 storage slots, 1834575059 trie entries
2026/04/27 09:53:11 [Contract] 8493/100000 (8.5%), 195238976 storage slots, 1847591502 trie entries
2026/04/27 09:53:31 [Contract] 9093/100000 (9.1%), 208678915 storage slots, 1861062663 trie entries
2026/04/27 09:53:51 [Contract] 9669/100000 (9.7%), 221732261 storage slots, 1874145924 trie entries
2026/04/27 09:54:11 [Contract] 10255/100000 (10.3%), 235429352 storage slots, 1887873084 trie entries
2026/04/27 09:54:31 [Contract] 10847/100000 (10.8%), 248708388 storage slots, 1901183022 trie entries
2026/04/27 09:54:51 [Contract] 11425/100000 (11.4%), 262453498 storage slots, 1914958068 trie entries
2026/04/27 09:55:11 [Contract] 12006/100000 (12.0%), 275975987 storage slots, 1928510351 trie entries
2026/04/27 09:55:31 [Contract] 12590/100000 (12.6%), 289694140 storage slots, 1942258802 trie entries
2026/04/27 09:55:51 [Contract] 13164/100000 (13.2%), 303226390 storage slots, 1955820771 trie entries
2026/04/27 09:56:11 [Contract] 13746/100000 (13.7%), 316770755 storage slots, 1969395335 trie entries
2026/04/27 09:56:31 [Contract] 14348/100000 (14.3%), 330214065 storage slots, 1982869708 trie entries
2026/04/27 09:56:51 [Contract] 14914/100000 (14.9%), 343807698 storage slots, 1996492809 trie entries
2026/04/27 09:57:11 [Contract] 15504/100000 (15.5%), 357668278 storage slots, 2010384315 trie entries
2026/04/27 09:57:31 [Contract] 16054/100000 (16.1%), 371336918 storage slots, 2024081738 trie entries
2026/04/27 09:57:51 [Contract] 16652/100000 (16.7%), 384941682 storage slots, 2037717992 trie entries
2026/04/27 09:58:11 [Contract] 17278/100000 (17.3%), 398521362 storage slots, 2051330301 trie entries
2026/04/27 09:58:31 [Contract] 17895/100000 (17.9%), 412123398 storage slots, 2064964563 trie entries
2026/04/27 09:58:51 [Contract] 18502/100000 (18.5%), 425613595 storage slots, 2078486397 trie entries
2026/04/27 09:59:11 [Contract] 19113/100000 (19.1%), 439044478 storage slots, 2091948887 trie entries
2026/04/27 09:59:31 [Contract] 19692/100000 (19.7%), 452638198 storage slots, 2105572881 trie entries
2026/04/27 09:59:52 [Contract] 20273/100000 (20.3%), 466243966 storage slots, 2119208958 trie entries
2026/04/27 10:00:12 [Contract] 20854/100000 (20.9%), 479816296 storage slots, 2132811492 trie entries
2026/04/27 10:00:32 [Contract] 21421/100000 (21.4%), 493428570 storage slots, 2146453391 trie entries
2026/04/27 10:00:52 [Contract] 22049/100000 (22.0%), 507019612 storage slots, 2160077148 trie entries
2026/04/27 10:01:12 [Contract] 22655/100000 (22.7%), 520355322 storage slots, 2173444438 trie entries
2026/04/27 10:01:32 [Contract] 23238/100000 (23.2%), 533812408 storage slots, 2186931658 trie entries
2026/04/27 10:01:52 [Contract] 23851/100000 (23.9%), 547801590 storage slots, 2200952710 trie entries
2026/04/27 10:02:12 [Contract] 24440/100000 (24.4%), 561113856 storage slots, 2214295743 trie entries
2026/04/27 10:02:32 [Contract] 25032/100000 (25.0%), 574659363 storage slots, 2227871699 trie entries
2026/04/27 10:02:52 [Contract] 25648/100000 (25.6%), 588348979 storage slots, 2241593740 trie entries
2026/04/27 10:03:12 [Contract] 26259/100000 (26.3%), 602237010 storage slots, 2255513452 trie entries
2026/04/27 10:03:32 [Contract] 26892/100000 (26.9%), 616649664 storage slots, 2269959202 trie entries
2026/04/27 10:03:52 [Contract] 27514/100000 (27.5%), 630490879 storage slots, 2283832810 trie entries
2026/04/27 10:04:12 [Contract] 28157/100000 (28.2%), 644607907 storage slots, 2297983534 trie entries
2026/04/27 10:04:32 [Contract] 28741/100000 (28.7%), 658674161 storage slots, 2312079722 trie entries
2026/04/27 10:04:53 [Contract] 29374/100000 (29.4%), 672079541 storage slots, 2325518182 trie entries
2026/04/27 10:05:13 [Contract] 29969/100000 (30.0%), 685455857 storage slots, 2338925312 trie entries
2026/04/27 10:05:33 [Contract] 30615/100000 (30.6%), 698962526 storage slots, 2352465557 trie entries
2026/04/27 10:05:53 [Contract] 31231/100000 (31.2%), 712321276 storage slots, 2365856162 trie entries
2026/04/27 10:06:13 [Contract] 31838/100000 (31.8%), 725678426 storage slots, 2379244853 trie entries
2026/04/27 10:06:33 [Contract] 32431/100000 (32.4%), 739257395 storage slots, 2392854685 trie entries
2026/04/27 10:06:53 [Contract] 33048/100000 (33.0%), 752775404 storage slots, 2406404695 trie entries
2026/04/27 10:07:13 [Contract] 33623/100000 (33.6%), 766332335 storage slots, 2419992028 trie entries
2026/04/27 10:07:33 [Contract] 34246/100000 (34.2%), 780026689 storage slots, 2433718421 trie entries
2026/04/27 10:07:53 [Contract] 34805/100000 (34.8%), 793545871 storage slots, 2447266861 trie entries
2026/04/27 10:08:13 [Contract] 35394/100000 (35.4%), 807318440 storage slots, 2461070064 trie entries
2026/04/27 10:08:33 [Contract] 36019/100000 (36.0%), 820820488 storage slots, 2474604275 trie entries
2026/04/27 10:08:53 [Contract] 36620/100000 (36.6%), 834470952 storage slots, 2488286458 trie entries
2026/04/27 10:09:13 [Contract] 37218/100000 (37.2%), 848049869 storage slots, 2501896409 trie entries
2026/04/27 10:09:34 [Contract] 37839/100000 (37.8%), 861739262 storage slots, 2515617977 trie entries
2026/04/27 10:09:54 [Contract] 38462/100000 (38.5%), 875442848 storage slots, 2529353976 trie entries
2026/04/27 10:10:14 [Contract] 39083/100000 (39.1%), 888869546 storage slots, 2542813382 trie entries
2026/04/27 10:10:34 [Contract] 39672/100000 (39.7%), 902473792 storage slots, 2556447904 trie entries
2026/04/27 10:10:54 [Contract] 40285/100000 (40.3%), 916188407 storage slots, 2570194914 trie entries
2026/04/27 10:11:15 [Contract] 40874/100000 (40.9%), 929663184 storage slots, 2583700526 trie entries
2026/04/27 10:11:35 [Contract] 41452/100000 (41.5%), 943578071 storage slots, 2597645233 trie entries
2026/04/27 10:11:55 [Contract] 42067/100000 (42.1%), 957123761 storage slots, 2611223270 trie entries
2026/04/27 10:12:15 [Contract] 42645/100000 (42.6%), 971088485 storage slots, 2625218186 trie entries
2026/04/27 10:12:35 [Contract] 43253/100000 (43.3%), 984956091 storage slots, 2639117320 trie entries
2026/04/27 10:12:55 [Contract] 43899/100000 (43.9%), 998589260 storage slots, 2652784028 trie entries
2026/04/27 10:13:15 [Contract] 44495/100000 (44.5%), 1012325563 storage slots, 2666551394 trie entries
2026/04/27 10:13:35 [Contract] 45151/100000 (45.2%), 1026589651 storage slots, 2680849867 trie entries
2026/04/27 10:13:55 [Contract] 45793/100000 (45.8%), 1040553973 storage slots, 2694847801 trie entries
2026/04/27 10:14:15 [Contract] 46414/100000 (46.4%), 1055081447 storage slots, 2709407502 trie entries
2026/04/27 10:14:35 [Contract] 47073/100000 (47.1%), 1068977167 storage slots, 2723337439 trie entries
2026/04/27 10:14:55 [Contract] 47706/100000 (47.7%), 1083545546 storage slots, 2737938875 trie entries
2026/04/27 10:15:15 [Contract] 48301/100000 (48.3%), 1098130432 storage slots, 2752554588 trie entries
2026/04/27 10:15:35 [Contract] 48936/100000 (48.9%), 1112777712 storage slots, 2767234708 trie entries
